,Week 1 Total,Week 1 Drives,2,Week 2 Success,Week 2 Failure,Running Success,Running Failure,3,Week 3 Success,Week 3 Failure,Running Success,Running Failure,3 Week,4,Week 4 Success,Week 4 Failure,Running Success,Running Failure,,5,Week 5 Success,Week 5 Failure,Running Success,Running Failure,,6,Week 6 Success,Week 6 Failure,Running Success,Running Failure,,7,Week 7 Success,Week 7 Failure,Running Success,Running Failure,,8,Week 8 Success,Week 8 Failure,Running Success,Running Failure,,9,Week 9 Success,Week 9 Failure,Running Success,Running Failure,,10,Week 10 Success,Week 10 Failure,Running Success,Running Failure,,11,Week 11 Success,Week 11 Failure,Running Success,Running Failure,,12,Week 12 Success,Week 12 Failure,Running Success,Running Failure,,13,Week 13 Success,Week 13 Failure,Running Success,Running Failure,,14,Week 14 Success,Week 14 Failure,Running Success,Running Failure,,15,Week 15 Success,Week 15 Failure,Running Success,Running Failure,,16,Week 16 Success,Week 16 Failure,Running Success,Running Failure,,17
HOU,301,12,25.08333333,383,13,684,25,27.36,526,13,1210,38,31.84210526,31.84210526,399,13,1609,51,33.53846154,31.54901961,315,11,1924,62,33.51351351,31.03225806,390,12,2314,74,30.66666667,31.27027027,431,13,2745,87,31.55555556,31.55172414,209,10,2954,97,29.42857143,30.45360825,0,0,2954,97,27.82608696,30.45360825,244,10,3198,107,22.65,29.88785047,332,11,3530,118,27.42857143,29.91525424,314,11,3844,129,27.8125,29.79844961,380,10,4224,139,32.0625,30.38848921,267,11,4491,150,30.03125,29.94,340,14,4831,164,28.2,29.45731707,290,12,5121,176,24.24324324,29.09659091
IND,256,11,23.27272727,223,9,479,20,23.95,286,10,765,30,25.5,25.5,327,11,1092,41,27.86666667,26.63414634,237,11,1329,52,26.5625,25.55769231,291,13,1620,65,24.42857143,24.92307692,231,10,1851,75,22.32352941,24.68,452,13,2303,88,27.05555556,26.17045455,365,12,2668,100,29.94285714,26.68,0,0,2668,100,32.68,26.68,224,10,2892,110,26.77272727,26.29090909,221,9,3113,119,23.42105263,26.15966387,220,12,3333,131,21.4516129,25.44274809,397,11,3730,142,26.1875,26.26760563,247,10,3977,152,26.18181818,26.16447368,357,11,4334,163,31.28125,26.58895706
LAC,341,12,28.41666667,264,12,605,24,25.20833333,309,11,914,35,26.11428571,26.11428571,516,14,1430,49,29.43243243,29.18367347,450,12,1880,61,34.45945946,30.81967213,407,14,2287,75,34.325,30.49333333,365,11,2652,86,33.02702703,30.8372093,453,14,3105,100,31.41025641,31.05,288,12,3393,112,29.89189189,30.29464286,282,11,3675,123,27.64864865,29.87804878,0,0,3675,123,24.7826087,29.87804878,357,12,4032,135,27.7826087,29.86666667,268,9,4300,144,29.76190476,29.86111111,559,13,4859,157,34.82352941,30.94904459,457,11,5316,168,38.90909091,31.64285714,283,11,5599,179,37.11428571,31.27932961
KC,365,12,30.41666667,503,14,868,26,33.38461538,301,11,1169,37,31.59459459,31.59459459,408,13,1577,50,31.89473684,31.54,0,0,1577,50,29.54166667,31.54,255,10,1832,60,28.82608696,30.53333333,226,10,2058,70,24.05,29.4,296,13,2354,83,23.54545455,28.36144578,287,12,2641,95,23.11428571,27.8,223,11,2864,106,22.38888889,27.01886792,211,8,3075,114,23.25806452,26.97368421,290,14,3365,128,21.93939394,26.2890625,227,9,3592,137,23.48387097,26.2189781,396,13,3988,150,25.36111111,26.58666667,261,12,4249,162,26,26.22839506,378,13,4627,175,27.23684211,26.44
OAK,217,11,19.72727273,282,10,499,21,23.76190476,235,12,734,33,22.24242424,22.24242424,392,14,1126,47,25.25,23.95744681,352,12,1478,59,25.76315789,25.05084746,374,10,1852,69,31.05555556,26.84057971,260,12,2112,81,29,26.07407407,345,13,2457,94,27.97142857,26.13829787,233,12,2690,106,22.64864865,25.37735849,0,0,2690,106,23.12,25.37735849,293,10,2983,116,23.90909091,25.71551724,375,11,3358,127,31.80952381,26.44094488,285,12,3643,139,28.87878788,26.20863309,318,12,3961,151,27.94285714,26.23178808,182,11,4143,162,22.42857143,25.57407407,267,11,4410,173,22.55882353,25.49132948
DEN,318,11,28.90909091,320,12,638,23,27.73913043,334,11,972,34,28.58823529,28.58823529,296,13,1268,47,26.38888889,26.9787234,360,11,1628,58,28.28571429,28.06896552,364,10,1992,68,30,29.29411765,303,12,2295,80,31.12121212,28.6875,383,14,2678,94,29.16666667,28.4893617,440,12,3118,106,29.63157895,29.41509434,347,12,3465,118,30.78947368,29.36440678,0,0,3465,118,32.79166667,29.36440678,417,15,3882,133,28.2962963,29.18796992,358,16,4240,149,25,28.45637584,315,11,4555,160,25.95238095,28.46875,383,13,4938,173,26.4,28.5433526,381,13,5319,186,29.16216216,28.59677419
NYG,255,10,25.5,326,11,581,21,27.66666667,395,11,976,32,30.5,30.5,376,13,1352,45,31.34285714,30.04444444,309,12,1661,57,30,29.14035088,399,12,2060,69,29.2972973,29.85507246,349,13,2409,82,28.56756757,29.37804878,0,0,2409,82,29.92,29.37804878,532,15,2941,97,31.46428571,30.31958763,433,13,3374,110,34.46428571,30.67272727,275,11,3649,121,31.79487179,30.15702479,326,15,3975,136,26.51282051,29.22794118,321,12,4296,148,24.26315789,29.02702703,313,15,4609,163,22.85714286,28.27607362,261,11,4870,174,23.55263158,27.98850575,293,12,5163,186,22.81578947,27.75806452
PHI,270,13,20.76923077,260,11,530,24,22.08333333,247,11,777,35,22.2,22.2,0,0,777,35,23.04545455,22.2,266,9,1043,44,25.65,23.70454545,226,11,1269,55,24.6,23.07272727,452,12,1721,67,29.5,25.68656716,347,13,2068,80,28.47222222,25.85,434,15,2502,95,30.825,26.33684211,376,12,2878,107,28.925,26.89719626,454,14,3332,121,30.82926829,27.53719008,209,8,3541,129,30.55882353,27.4496124,346,11,3887,140,30.57575758,27.76428571,272,11,4159,151,27.56666667,27.54304636,351,12,4510,163,28.5,27.66871166,271,12,4781,175,25.54285714,27.32
DAL,219,9,24.33333333,310,10,529,19,27.84210526,289,11,818,30,27.26666667,27.26666667,254,10,1072,40,27.51612903,26.8,176,8,1248,48,24.79310345,26,364,11,1612,59,27.37931034,27.3220339,0,0,1612,59,28.42105263,27.3220339,368,12,1980,71,31.82608696,27.88732394,171,8,2151,79,26.95,27.2278481,373,12,2524,91,28.5,27.73626374,191,10,2715,101,24.5,26.88118812,179,8,2894,109,24.76666667,26.55045872,318,11,3212,120,23.72413793,26.76666667,557,15,3769,135,31,27.91851852,336,12,4105,147,31.86842105,27.92517007,354,11,4459,158,32.81578947,28.22151899
WAS,273,10,27.3,277,10,550,20,27.5,314,11,864,31,27.87096774,27.87096774,276,10,1140,41,27.96774194,27.80487805,341,13,1481,54,27.38235294,27.42592593,216,10,1697,64,25.24242424,26.515625,202,8,1899,72,24.48387097,26.375,316,12,2215,84,24.46666667,26.36904762,0,0,2215,84,25.9,26.36904762,285,10,2500,94,27.31818182,26.59574468,243,11,2743,105,25.14285714,26.12380952,294,9,3037,114,27.4,26.64035088,309,10,3346,124,28.2,26.98387097,220,9,3566,133,29.39285714,26.81203008,547,14,4113,147,32.60606061,27.97959184,245,11,4358,158,29.76470588,27.58227848
