,Week 1 Success,2,Week 2 Success,Running Average,3,Week 3 Success,Running Average,3 Week,4,Week 4 Success,Running Average,,5,Week 5 Success,Running Average,,6,Week 6 Success,Running Average,,7,Week 7 Success,Running Average,,8,Week 8 Success,Running Average,,9,Week 9 Success,Running Average,,10,Week 10 Success,Running Average,,11,Week 11 Success,Running Average,,12,Week 12 Success,Running Average,,13,Week 13 Success,Running Average,,14,Week 14 Success,Running Average,,15,Week 15 Success,Running Average,,16,Week 16 Success,Running Average,,17
GB,4,4,-3,0.5,0.5,7,2.666666667,2.666666667,2.666666667,,2.666666667,2,2.666666667,7,3.75,7,3.75,-14,0.2,-3.5,0.2,16,2.833333333,3,2.833333333,-1,2.285714286,0.3333333333,2.285714286,-5,1.375,3.333333333,1.375,-22,-1.222222222,-9.333333333,-1.222222222,-18,-2.9,-15,-2.9,14,-1.363636364,-8.666666667,-1.363636364,8,-0.5833333333,1.333333333,-0.5833333333,28,1.615384615,16.66666667,1.615384615,3,1.714285714,13,1.714285714,13,2.466666667,14.66666667,2.466666667
HOU,9,9,7,8,8,-27,-3.666666667,-3.666666667,-3.666666667,7,-1,-4.333333333,-1,-18,-4.4,-12.66666667,-4.4,3,-3.166666667,-2.666666667,-3.166666667,-18,-5.285714286,-11,-5.285714286,7,-3.75,-2.666666667,-3.75,,-3.75,-5.5,-3.75,3,-3,5,-3,-7,-3.4,-2,-3.4,-8,-3.818181818,-4,-3.818181818,-8,-4.166666667,-7.666666667,-4.166666667,5,-3.461538462,-3.666666667,-3.461538462,1,-3.142857143,-0.6666666667,-3.142857143,2,-2.8,2.666666667,-2.8
IND,-4,-4,-14,-9,-9,4,-4.666666667,-4.666666667,-4.666666667,-3,-4.25,-4.333333333,-4.25,6,-2.2,2.333333333,-2.2,-3,-2.333333333,0,-2.333333333,8,-0.8571428571,3.666666667,-0.8571428571,-16,-2.75,-3.666666667,-2.75,5,-1.888888889,-1,-1.888888889,,-1.888888889,-5.5,-1.888888889,7,-1,6,-1,-21,-2.818181818,-7,-2.818181818,31,0,5.666666667,0,-5,-0.3846153846,1.666666667,-0.3846153846,28,1.642857143,18,1.642857143,-8,1,5,1
JAX,-4,-4,-24,-14,-14,-2,-10,-10,-10,3,-6.75,-7.666666667,-6.75,,-6.75,0.5,-6.75,1,-5.2,2,-5.2,-17,-7.166666667,-8,-7.166666667,-14,-8.142857143,-10,-8.142857143,-5,-7.75,-12,-7.75,-3,-7.222222222,-7.333333333,-7.222222222,-7,-7.2,-5,-7.2,-7,-7.181818182,-5.666666667,-7.181818182,-10,-7.416666667,-8,-7.416666667,-9,-7.538461538,-8.666666667,-7.538461538,-1,-7.071428571,-6.666666667,-7.071428571,21,-5.2,3.666666667,-5.2
KC,6,6,-7,-0.5,-0.5,21,6.666666667,6.666666667,6.666666667,-29,-2.25,-5,-2.25,,-2.25,-4,-2.25,16,1.4,-6.5,1.4,6,2.166666667,11,2.166666667,16,4.142857143,12.66666667,4.142857143,5,4.25,9,4.25,3,4.111111111,8,4.111111111,-2,3.5,2,3.5,3,3.454545455,1.333333333,3.454545455,1,3.25,0.6666666667,3.25,8,3.615384615,4,3.615384615,-2,3.214285714,2.333333333,3.214285714,23,4.533333333,9.666666667,4.533333333
LAR,-28,-28,6,-11,-11,5,-5.666666667,-5.666666667,-5.666666667,4,-3.25,5,-3.25,-11,-4.8,-0.6666666667,-4.8,-3,-4.5,-3.333333333,-4.5,-7,-4.857142857,-7,-4.857142857,,-4.857142857,-5,-4.857142857,-3,-4.625,-5,-4.625,3,-3.777777778,0,-3.777777778,-4,-3.8,-1.333333333,-3.8,-28,-6,-9.666666667,-6,-16,-6.833333333,-16,-6.833333333,-28,-8.461538462,-24,-8.461538462,-21,-9.357142857,-21.66666667,-9.357142857,-1,-8.8,-16.66666667,-8.8
MIA,-2,-2,-7,-4.5,-4.5,6,-1,-1,-1,-15,-4.5,-5.333333333,-4.5,-13,-6.2,-7.333333333,-6.2,15,-2.666666667,-4.333333333,-2.666666667,3,-1.857142857,1.666666667,-1.857142857,,-1.857142857,9,-1.857142857,4,-1.125,3.5,-1.125,7,-0.2222222222,5.5,-0.2222222222,4,0.2,5,0.2,7,0.8181818182,6,0.8181818182,-32,-1.916666667,-7,-1.916666667,3,-1.538461538,-7.333333333,-1.538461538,21,0.07142857143,-2.666666667,0.07142857143,3,0.2666666667,9,0.2666666667
MIN,2,2,2,2,2,4,2.666666667,2.666666667,2.666666667,2,2.5,2.666666667,2.5,2,2.4,2.666666667,2.4,,2.4,2,2.4,2,2.333333333,2,2.333333333,5,2.714285714,3.5,2.714285714,5,3,4,3,3,3,4.333333333,3,2,2.9,3.333333333,2.9,3,2.909090909,2.666666667,2.909090909,2,2.833333333,2.333333333,2.833333333,3,2.846153846,2.666666667,2.846153846,3,2.857142857,2.666666667,2.857142857,6,3.066666667,4,3.066666667
NO,-1,-1,-3,-2,-2,-13,-5.666666667,-5.666666667,-5.666666667,1,-4,-5,-4,,-4,-6,-4,3,-2.6,2,-2.6,-6,-3.166666667,-1.5,-3.166666667,5,-2,0.6666666667,-2,18,0.5,5.666666667,0.5,-2,0.2222222222,7,0.2222222222,-3,-0.1,4.333333333,-0.1,28,2.454545455,7.666666667,2.454545455,-15,1,3.333333333,1,-5,0.5384615385,2.666666667,0.5384615385,7,1,-4.333333333,1,7,1.4,3,1.4
NE,2,2,7,4.5,4.5,27,12,12,12,-16,5,6,5,20,8,10.33333333,8,18,9.666666667,7.333333333,9.666666667,11,9.857142857,16.33333333,9.857142857,16,10.625,15,10.625,,10.625,13.5,10.625,-7,8.666666667,4.5,8.666666667,13,9.1,3,9.1,5,8.727272727,3.666666667,8.727272727,16,9.333333333,11.33333333,9.333333333,7,9.153846154,9.333333333,9.153846154,13,9.428571429,12,9.428571429,38,11.33333333,19.33333333,11.33333333
